癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	04	1993-02-04 18:15	36.0767	129.615	Chart	0	11.2	1	34.36	1	6.12	1	1							1,022.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-02-04 18:15	36.0767	129.615	Chart	10	11.3	1	34.34	1	6.22	1	1							1,022.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-02-04 18:15	36.0767	129.615	Chart	20	11.3	1	34.29	1	5.72	1	1							1,022.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-02-04 18:15	36.0767	129.615	Chart	30	10.7	1	34.24	1	5.08	1	1							1,022.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-02-04 18:15	36.0767	129.615	Chart	50	10.6	1	34.23	1	4.99	1	1							1,022.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-04-08 07:30	36.0767	129.615	Chart	0	12.1	1	34.57	1	6.09	1	1						11	1,018.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-04-08 07:30	36.0767	129.615	Chart	10	12.1	1	34.58	1	6.25	1	1						11	1,018.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-04-08 07:30	36.0767	129.615	Chart	20	12.1	1	34.57	1	6.17	1	1						11	1,018.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-04-08 07:30	36.0767	129.615	Chart	30	12.1	1	34.56	1	6.01	1	1						11	1,018.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-04-08 07:30	36.0767	129.615	Chart	50	11.7	1	34.56	1	5.93	1	1						11	1,018.5	BUSAN 851(PUSAN 851)
East Sea	102	04	1993-06-20 05:50	36.0767	129.615	Chart	0	18.4	1	34.07	1	4.9	1	1							1,012.5	BUSAN 881(PUSAN 881)
East Sea	102	04	1993-06-20 05:50	36.0767	129.615	Chart	10	18.0	1	34.31	1	4.96	1	1							1,012.5	BUSAN 881(PUSAN 881)
East Sea	102	04	1993-06-20 05:50	36.0767	129.615	Chart	20	16.2	1	34.48	1	4.54	1	1							1,012.5	BUSAN 881(PUSAN 881)
East Sea	102	04	1993-06-20 05:50	36.0767	129.615	Chart	30	15.0	1	34.42	1	4.21	1	1							1,012.5	BUSAN 881(PUSAN 881)
